id,time,計畫名稱及領域代碼,擬前往國家,擬拜會或視察機構,計畫內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年有無赴同一機構拜會視察,前三年赴同一機構拜會視察之內容
401,114,01　職員出國考察計畫83,芬蘭、瑞典及丹麥等北歐國家,國會,國會行政組織及運作,114.07-114.08,10,8,320,839,50,1209,一般行政,無,
401,114,02　資訊交流及國際研討會議83,芬蘭,資訊單位,資訊科技應用觀摩及技術交流,114.07-114.09,9,3,200,240,6,446,一般行政,無,
501,113,一、考察,,,,,,,,,,,,,
501,113,01　院長率員赴法國考察違憲審查制度等事項經費84,法國,法國憲法委員會、歐洲人權法院等司法機關及學術單位,考察違憲審查制度等事項。,113.09-113.09,9,5,350,446,68,864,一般行政,無,
501,113,02　副院長率員赴加拿大考察重要司法及憲法議題等事項經費84,加拿大,司法機關等,考察重要司法及憲法議題。,113.08-113.09,10,5,380,368,84,832,一般行政,無,
501,113,03　派員赴日本考察法律扶助制度運作模式、刑事及少年量刑等重要議題84,日本,司法機構、法律扶助機構、學術單位等,考察法律扶助制度運作模式、刑事及少年量刑等重要議題。,113.06-113.06,6,8,263,446,26,735,一般行政,無,
501,113,04　大法官赴非洲地區考察違憲審查相關法制等84,南非共和國,憲法法院,考察違憲審查相關法制等。,113.08-113.08,6,9,513,414,53,980,一般行政,無,
501,113,05　大法官赴歐洲地區考察違憲審查相關法制等84,羅馬尼亞,憲法法院,考察違憲審查相關法制等。,113.08-113.08,6,8,475,353,38,866,一般行政,無,
501,113,06　派員赴南非共和國考察憲法訴訟相關法制等84,南非共和國,憲法法院,考察憲法訴訟相關法制等。,113.08-113.08,6,2,72,92,57,221,一般行政,無,
501,113,07　派員赴日本考察裁判員制度施行情形等(第一團)84,日本,司法機關,考察裁判員制度施行情形等。,113.04-113.04,6,13,260,598,74,932,一般行政,無,
501,113,08　派員赴日本考察裁判員制度施行情形等(第二團)84,日本,司法機關,考察裁判員制度施行情形等。,113.05-113.05,6,13,260,598,74,932,一般行政,無,
501,113,09　派員赴日本考察量刑制度規劃情形等84,日本,司法機關,考察量刑制度規劃情形等。,113.06-113.06,6,7,100,300,38,438,一般行政,無,
501,113,10　派員赴美國考察陪審團制度及量刑委員會運作情形等84,美國,司法機關,考察陪審團制度及量刑委員會運作等。,113.07-113.07,8,7,445,715,80,1240,一般行政,無,
501,113,11　派員赴加拿大考察家事法院(庭)之家事調解、兒少保護等相關法制84,加拿大,地方法院、中級法院等,瞭解家事調解於家事法庭運作之情形、審理程序中如何維護兒少司法權益及相關制度。,113.09-113.09,10,4,506,440,79,1025,一般行政,無,
501,113,12　派員赴荷蘭、法國及盧森堡考察裁判書公開等司法行政制度84,荷蘭、法國、盧森堡,司法部、各級法院等,考察裁判書公開等司法行政制度研究。,113.07-113.08,11,4,368,423,42,833,一般行政,無,
501,113,13　派員赴美國考察法庭科技化應用實務等84,美國,最高、地方法院等,考察法庭科技化應用實務等。,113.08-113.10,5,3,206,108,85,399,一般行政,無,
501,114,一、考察,,,,,,,,,,,,,
501,114,01　院長率員赴法國考察違憲審查制度等事項經費84,法國,法國憲法委員會、歐洲人權法院等司法機關及學術單位,考察違憲審查制度等事項。,114.09-114.09,9,5,360,538,60,958,一般行政,無,
501,114,02　副院長率員赴加拿大考察民事訴訟及調解業務等事項經費84,加拿大,司法機關等,考察民事訴訟及調解業務。,114.08-114.09,10,5,390,409,77,876,一般行政,無,
501,114,03　派員赴日本考察法官人事制度及民事強制執行程序人力配置等事項經費84,日本,最高裁判所事務總局、東京地方裁判所、人事院等,考察法官人事制度及民事強制執行程序人力配置等。,114.09-114.09,6,9,262,482,30,774,一般行政,無,
501,114,04　大法官赴歐洲地區考察違憲審查相關法制等84,義大利,憲法法院,考察違憲審查相關法制等。,114.08-114.08,6,9,338,646,48,1032,一般行政,無,
501,114,05　大法官赴亞太地區考察違憲審查相關法制等84,紐西蘭,最高法院,考察違憲審查相關法制等。,114.08-114.08,6,8,376,488,48,912,一般行政,無,
501,114,06　派員赴義大利考察憲法訴訟相關法制等84,義大利,憲法法院,考察憲法訴訟相關法制等。,114.08-114.08,6,2,75,144,13,232,一般行政,無,
501,114,07　派員赴日本考察裁判員制度施行情形等(第一團)84,日本,司法機關,考察裁判員制度施行情形等。,114.03-114.03,6,12,228,642,62,932,一般行政,無,
501,114,08　派員赴日本考察裁判員制度施行情形等(第二團)84,日本,司法機關,考察裁判員制度施行情形等。,114.07-114.07,6,12,228,642,62,932,一般行政,無,
501,114,09　派員赴南韓考察量刑制度規劃情形等84,南韓,司法機構,考察量刑制度規劃情形等。,114.04-114.04,6,7,140,308,78,526,一般行政,無,
501,114,10　派員赴德國考察稅務行政訴訟制度84,德國,司法機關,考察稅務行政訴訟制度。,114.07-114.07,10,6,507,503,66,1076,一般行政,無,
501,114,11　派員赴英國考察少年刑事案件量刑準則等相關法制84,英國,少年法院、量刑委員會等,瞭解少年刑事案件量刑委員會之組成、量刑準則之訂定等運作機制，以及少年法院在少年刑事案件之量刑實務。,114.08-114.08,9,3,285,280,138,703,一般行政,無,
501,114,12　派員赴紐西蘭考察轉介修復對話程序等相關法制84,紐西蘭,少年法院等,瞭解少年事件審理實務、多元處遇方案、裁判與保護處分之執行、少年輔導治療相關資源之支援、轉介修復對話程序等相關法制及具體運作情形。,114.06-114.06,6,2,180,81,112,373,一般行政,無,
501,114,13　派員赴美國考察遠距法庭與審判公開等司法行政制度84,美國,各級法院等,遠距法庭與審判公開等司法行政制度研究。,114.07-114.08,11,4,400,497,60,957,一般行政,無,
2001,113,一、考察,,,,,,,,,,,,,
2001,113,01　日本大學社會責任及大學合併（學院讓渡模式）及考察日本入學考試制度變革及招生適性選才機制86,日本,日本相關高等教育機構及主要大學,"1.參訪大學社會責任（USR）計畫執行情形及大學整併模式（私立大學讓渡學院給公立大學模式）。2.拜訪日本文部科學省下屬之「大學入學考試中心」，了解並借鑑其辦理的全國統一入學考試制度。3.參訪採用「AO入學（Admission Office）」方式之大學，作為我國大學招生選才之參考。",113.08-113.09,5,2,75,15,10,100,高等教育行政及督導,無,
2001,113,02　美國創新教學、教學實踐研究制度考察86,美國,美國相關高等教育機構及主要大學,透過廣泛汲取美國教學學術研究（SoTL）之運作經驗，理解不同大學之教學學術研究（SoTL）原則及創新教學方法，以及其在教師個人、院系角色、學校政策、全國或跨國層級所建構之支持性措施，並了解美國大學教學型教師職涯發展路徑，以提供我國高等教育教學創新、教學實踐研究及多元升等制度之借鏡。,113.04-113.07,8,2,140,105,10,255,高等教育行政及督導,無,
2001,113,03　義大利雙語教育政策國際交流86,義大利,義大利教育大學暨研究部及推動雙語教學之高等教育機構,交流高等教育階段之雙語教育推動策略、經驗與展望。,113.08-113.08,8,2,160,111,10,281,高等教育行政及督導,無,
2001,113,04　111-112年師鐸獎獲獎人員出國考察活動86,未定,視活動地點而定,帶領師鐸獎獲獎教師出國參訪教育機構及進行教學觀摩，與當地師生進行文教交流，並將其經驗於回國後嘉惠我國學子。,113.01-113.12,12,6,210,420,,630,師資培育與藝術教育行政及督導,無,
2001,113,05　推動本部美感教育工作之教師國外進修參訪86,西班牙,歐洲機關學校,配合美感教育計畫，參考美感藝術卓著的國家（西班牙）進行藝術教育推動相關考察。,113.01-113.12,9,2,46,68,,114,師資培育與藝術教育行政及督導,無,
2001,113,06　考察學習型城市推動暨交流計畫86,亞洲或歐洲,當地政府機關及終身學習機構等,透過考察活動，瞭解他國推動學習型城市之資源統整及推廣宣導方式等，作為我國精進學習型城市推展機制之借鏡，並期建立國際學習型城市社群交流網絡。,113.03-113.11,12,2,60,130,20,210,終身教育行政及督導,無,
2001,113,07　高齡教育制度出國考察計畫86,歐洲或亞洲,當地政府機關或辦理高齡教育相關單位等,透過考察活動，瞭解他國推動高齡教育或代間教育之相關趨勢及推動情形，期從該等國家高齡教育制度發展與實務經驗，供我國制定高齡教育政策之參考。,113.03-113.11,12,2,50,140,20,210,終身教育行政及督導,無,
2001,113,08　數位學習深耕美國參訪交流計畫86,美國,視活動地點而定,新冠疫情之後各國大學數位學習已有巨大的變化，例如美國普渡大學及亞利桑那州立大學接連買下私校以擴展其線上學習，並迎來高額註冊率，而線上學習平臺產業營運模式也與發展之初有了重大的不同，為協助我國大學推展數位學習，乃至於協助校務，爰擬參訪線上學習平臺或線上學習經營有成的大學等，期能帶回國際高等教育數位學習推展經驗及作法，供國內大學參考。,113.09-113.11,7,1,36,42,5,83,資訊與科技教育行政及督導,無,
2001,113,09　環教大使國際交流學習計畫86,日本,視活動地點而定,掌握國際2050淨零排放、永續發展目標（SDGs）關鍵內涵，對接新世代環境教育發展政策，期提升各縣市政府環境教育輔導小組（團）成員及學校人員環境教育專業知能，學習日本與聯合國教科文組織共同發展之永續發展教育推動策略及學校實踐案例，拓展國際視野，並宣傳我國深耕多年的學校環境教育成果，爰本部派員共同參與學習和交流。,113.04-113.04,5,1,18,41,1,60,資訊與科技教育行政及督導,無,
2001,113,10　數位學習相關推動計畫86,日本,視活動地點而定,為瞭解及學習國外在數位學習、新科技（延展實境、元宇宙）教育之發展，規劃參訪日本中小學與相關產業單位，透過國際企業與教育機構參訪與對話，共同探討數位學習發展、延展實境（XR）與元宇宙教育相關推動經驗與心得，進行互動分享與交流。,113.03-113.12,5,2,36,82,2,120,資訊與科技教育行政及督導,無,
2001,113,11　部次長出國考察計畫86,未定,視活動地點而定,參訪國際教育制度作為教育改進之參考。,113.01-113.12,7,1,20,20,7,47,國際及兩岸教育交流,無,
2001,113,12　參加印尼臺灣高等教育展及招生宣導說明會86,印尼,印尼重點高等教育機構,參加印尼臺灣高等教育展及招生宣導說明會。,113.01-113.12,5,1,30,30,10,70,國際及兩岸教育交流,無,
2001,113,13　參加菲律賓臺灣高等教育展及招生宣導說明會86,菲律賓,菲律賓重點高等教育機構,參加菲律賓臺灣高等教育展及招生宣導說明會。,113.01-113.12,5,1,20,25,10,55,國際及兩岸教育交流,無,
2001,113,14　參加印度臺灣高等教育展及招生宣導說明會86,印度,印度重點高等教育機構,參加印度臺灣高等教育展及招生宣導說明會。,113.01-113.12,5,1,50,42,10,102,國際及兩岸教育交流,無,
2001,113,15　參加越南臺灣高等教育展及招生宣導說明會86,越南,越南重點高等教育機構,參加越南臺灣高等教育展及招生宣導說明會。,113.01-113.12,5,1,25,20,10,55,國際及兩岸教育交流,無,
2001,113,16　參加馬來西亞留臺校友會聯合總會所辦臺灣高等教育展、文華之夜慶典活動86,馬來西亞,馬來西亞重點高等教育機構,參加馬來西亞留臺校友會聯合總會所辦臺灣高等教育展、文華之夜慶典活動。,113.01-113.12,5,2,51,56,29,136,國際及兩岸教育交流,有,111年及112年依計畫核定赴馬來西亞參加教育展，宣傳我國高等教育現況。馬來西亞為我大專校院境外生主要來源國之一，爰赴馬國辦理擴大鼓勵外國學生來臺就學。
2001,113,二、視察,,,,,,,,,,,,,
2001,113,17　第23屆海外臺灣學校董事長、校長、家長會聯席會議暨訪視查核86,馬來西亞,吉隆坡臺灣學校,"1.拜會當地臺商總會。 2.各校代表分享經營推展校務經驗。 3.赴馬來西亞臺灣學校訪視及頒贈表揚境外臺校典範教師。",113.01-113.12,5,3,112,64,100,276,國際及兩岸教育交流,無,
2001,113,三、訪問,,,,,,,,,,,,,
2001,113,18　訪問東南亞國家技職教育相關機構及政府單位86,亞洲,政府教育單位及技職學校,1.訪問東南亞技職教育輸出與我國技專校院合作成果，以深化雙邊合作。2.配合新南向政策人才培育計畫，新南向國家包含18國，視計畫推動情形調整每年訪問國家。,113.01-113.12,5,2,54,40,2,96,技術職業教育行政及督導,無,
2001,113,19　訪問以色列特色大學產學合作及技轉模式86,以色列,以色列技職學校,訪問以色列特色大學，瞭解該國大學產學合作及技轉模式，作為我國技職教育學習之借鏡。,113.01-113.12,7,2,172,110,40,322,技術職業教育行政及督導,無,
2001,113,20　訪問南亞國家負責技職教育機構及參加國際教育展86,亞洲,政府教育單位及技職學校,1.訪問南亞技職教育輸出與我國技專校院合作成果，以深化雙邊合作。2.配合新南向政策人才培育計畫，新南向國家包含18國，視計畫推動情形調整每年訪問國家。,113.01-113.12,5,2,38,40,1,79,技術職業教育行政及督導,無,
2001,114,一、考察,,,,,,,,,,,,,
2001,114,01　學術聯盟國際交流86,捷克,查理士大學,參訪國家重點領域國際合作聯盟合作情形與海外基地推動情形。,114.08-114.09,10,2,160,120,10,290,高等教育行政及督導,無,
2001,114,02　考察日本入學考試制度變革及招生適性選才機制86,日本,日本大學,"1.拜訪日本文部科學省下屬的「大學入學考試中心」，了解並借鑑其辦理的全國統一入學考試制度。 2.參訪採用「AO入學（Admission Office）」方式之大學，作為我國大學招生選才之參考；AO入學係指考生通過遞交自我推薦書，到大學進行甄試。",114.08-114.09,5,2,75,31,10,116,高等教育行政及督導,無,
2001,114,03　參訪美國研究園區產學合作機制86,美國,美國史丹佛研究園區,參訪美國史丹佛研究園區以了解產學合作經營模式與管理方式，作為未來推動產學合作之參考。,114.07-114.08,8,2,150,110,10,270,高等教育行政及督導,無,
2001,114,04　113年師鐸獎獲獎人員出國考察活動86,未定,視活動地點而定,帶領師鐸獎獲獎教師出國參訪教育機構及進行教學觀摩，與當地師生進行文教交流，並將其經驗於回國後嘉惠我國學子。,114.01-114.12,12,4,200,320,,520,師資培育與藝術教育行政及督導,無,
2001,114,05　考察師資培育制度（教育實習暨雙語教育）及美感教育參訪活動86,歐洲,視活動地點而定,"配合師培白皮書，考察國外師資培育大學教育實習制度、雙語教育及藝術教育推動情形 。",114.01-114.12,7,2,70,154,,224,師資培育與藝術教育行政及督導,無,
2001,114,06　國際家庭教育考察計畫86,亞洲或美洲,當地政府機關或辦理家庭教育相關單位等,透過考察活動，瞭解他國推行家庭教育之情形，期從該等國家家庭教育制度發展與實務經驗，供我國推展家庭教育政策之參考。,114.03-114.12,10,2,60,40,10,110,終身教育行政及督導,無,
2001,114,07　考察融合教育86,澳洲,學校及教育局,考察融合教育。,114.05-114.09,10,2,52,10,1,63,學生事務與特殊教育行政及督導,無,
2001,114,08　考察心理健康業務推動經驗86,日本,學校及教育局,考察學生輔導及心理健康。,114.01-114.08,8,3,45,8,1,54,學生事務與特殊教育行政及督導,無,
2001,114,09　中小學數位學習參訪交流計畫86,英國,視活動地點而定,本部推動中小學數位學習精進方案，經監察委員提示國外數位學習發展快速，建議編列預算出國考察，爰規劃逐年考察，114年赴英國參訪政府機關、中小學與學術單位等，透過參訪與對談，交流討論數位學習政策與發展，以作我國推動參考。,114.01-114.12,7,1,60,49,1,110,資訊與科技教育行政及督導,無,
2001,114,10　綠色工程跨領域人才培育日本參訪交流計畫86,日本,視活動地點而定,鑑於日本推動淨零排放已為國際領先國家之一，爰規劃至日本觀摩考察，參訪指標性大學或教育機構（如東京大學、東京工業大學、碳中和大學聯盟）、法人團體或企業（如日本碳中和協會、日本西松建設、JR東日本鐵道公司），以了解並交流該國綠色轉型人才培育的模式及經驗，做為規劃我國推動綠色工程跨領域人才培育的參考。,114.03-114.03,7,1,18,40,2,60,資訊與科技教育行政及督導,無,
2001,114,11　縣市防災教育人員國際交流計畫86,日本,視活動地點而定,縣市防災教育人員國際交流計畫，掌握全球防災教育推動趨勢，精進防災知能與汲取經驗，並轉化為符合在地化需求之防災教育推動模式。,114.03-114.03,7,1,18,41,1,60,資訊與科技教育行政及督導,有,了解復原重建與各項策進作為，以增進各縣市政府轉化為在地可實行之策略與作法。
2001,114,12　部次長出國考察計畫86,未定,視活動地點而定,參訪國際教育制度作為教育改進之參考。,114.01-114.12,7,1,20,20,7,47,國際及兩岸教育交流,無,
2001,114,13　參加印尼臺灣高等教育展及招生宣導說明會86,印尼,印尼重點高等教育機構,參加印尼臺灣高等教育展及招生宣導說明會。,114.01-114.12,5,1,30,30,10,70,國際及兩岸教育交流,無,
2001,114,14　參加菲律賓臺灣高等教育展及招生宣導說明會86,菲律賓,菲律賓重點高等教育機構,參加菲律賓臺灣高等教育展及招生宣導說明會。,114.01-114.12,5,1,20,25,10,55,國際及兩岸教育交流,無,
2001,114,15　參加印度臺灣高等教育展及招生宣導說明會86,印度,印度重點高等教育機構,參加印度臺灣高等教育展及招生宣導說明會。,114.01-114.12,5,1,50,42,10,102,國際及兩岸教育交流,無,
2001,114,16　參加越南臺灣高等教育展及招生宣導說明會86,越南,越南重點高等教育機構,參加越南臺灣高等教育展及招生宣導說明會。,114.01-114.12,5,1,25,20,10,55,國際及兩岸教育交流,無,
2001,114,17　參加馬來西亞留臺校友會聯合總會所辦臺灣高等教育展、文華之夜慶典活動86,馬來西亞,馬來西亞重點高等教育機構,參加馬來西亞留臺校友會聯合總會所辦臺灣高等教育展、文華之夜慶典活動。,114.01-114.12,5,2,51,56,29,136,國際及兩岸教育交流,有,112年依計畫核定赴馬來西亞參加教育展，宣傳我國高等教育現況。馬來西亞為我大專校院境外生主要來源國之一，爰赴馬國辦理擴大鼓勵外國學生來臺就學。
2001,114,二、視察,,,,,,,,,,,,,
2001,114,18　第24屆海外臺灣學校董事長、校長、家長會聯席會議暨訪視查核86,越南,胡志明市臺灣學校,"1.拜會當地臺商總會。 2.各校代表分享經營推展校務經驗。 3.赴胡志明市臺灣學校訪視及頒贈表揚境外臺校典範教師。",114.01-114.12,5,3,105,102,69,276,國際及兩岸教育交流,無,
2001,114,三、訪問,,,,,,,,,,,,,
2001,114,19　訪問東南亞國家技職教育相關機構及政府單位86,印尼,政府教育單位及技職學校,1.訪問東南亞技職教育相關機構及政府單位，以深化雙邊合作。2.配合新南向政策人才培育計畫與促進國際生來臺暨留臺實施計畫，視計畫推動情形調整每年訪問國家。,114.01-114.12,5,2,60,40,2,102,技術職業教育行政及督導,無,
2001,114,20　訪問加拿大負責技職教育主管機關及相關技職學校86,加拿大,加拿大技職教育主管機關及技職學校,訪問加拿大促進技職教育發展之政策規劃方向及執行成效（包含升學進路、課程設計等相關誘因之推動措施）。,114.01-114.12,7,2,180,175,40,395,技術職業教育行政及督導,無,
