id,time,計畫名稱及領域代碼,擬前往地區,擬拜會單位,工作內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年內有無赴同一單位拜會,前三年赴同一單位拜會之內容
240,113,"01 深耕計畫15",大陸地區,當地學術機構,參與會議,113.01-113.12,3,2,50,18,0,68,學術研究與人才培育,無,
240,113,"02 延攬資深學人開辦費16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,4,2,45,35,20,100,學術研究與人才培育,無,
240,113,"03 人文社會科學新領域之開發及研究環境之改善91",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,5,6,120,120,19,259,學術研究與人才培育,無,
240,113,"04 創新性研究計畫16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,10,1,30,15,7,52,學術研究與人才培育,無,
240,113,"05 生物技術之研發及在醫學之應用4L",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,5,3,90,75,15,180,學術研究與人才培育,無,
240,113,"06 數理科學新領域之開發及研究環境之改善16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,5,2,37,30,10,77,學術研究與人才培育,無,
240,113,"07 博士後研究學者培育計畫76",大陸地區,學術研究單位,出席研討會、進行學術交流及資料收集等,113.01-113.12,5,2,45,55,0,100,學術研究與人才培育,無,
240,113,"08 前瞻計畫15",大陸地區,學術研究單位,參加會議、發表論文,113.01-113.12,5,7,200,70,30,300,學術研究與人才培育,無,
240,113,"09 深耕計畫10",大陸地區,當地學術機構,論文發表及參與會議等,113.01-113.12,3,3,60,40,3,103,學術研究與人才培育,無,
240,113,"10 主題研究計畫15",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,4,1,30,30,20,80,學術研究與人才培育,無,
240,113,"11 關鍵突破種子計畫15",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,2,2,35,10,5,50,學術研究與人才培育,無,
240,113,"12 關鍵突破研究計畫15",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,113.01-113.12,10,12,385,140,100,625,學術研究與人才培育,無,
240,113,"13 核心設施及新創儀器計畫15",大陸地區,學術研究機構,參加會議,113.01-113.12,3,1,5,3,1,9,學術研究與人才培育,無,
240,113,"14 永續科學研究計畫16",大陸地區,大陸重點大學及學術機構,出席會議、學術交流,113.01-113.12,9,4,140,150,10,300,學術研究與人才培育,無,
240,113,"15 深耕計畫15",大陸地區,當地學術機構,學術訪問,113.01-113.12,2,2,20,18,0,38,學術研究與人才培育,無,
240,113,"16 主題研究計畫15",大陸地區,大陸重點大學及學術機構,學術訪問交流,113.01-113.12,4,1,30,30,20,80,學術研究與人才培育,無,
240,113,"17 創新性研究計畫16",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,12,2,60,60,30,150,學術研究與人才培育,無,
240,113,"18 生物技術之研發及在醫學之應用4L",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,6,3,90,95,15,200,學術研究與人才培育,無,
240,113,"19 數理科學新領域之開發及研究環境之改善16",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,12,1,30,35,5,70,學術研究與人才培育,無,
240,113,"20 前瞻計畫16",大陸地區,學術研究單位,蒐集資料、採樣調查,113.01-113.12,5,5,70,60,20,150,學術研究與人才培育,無,
240,113,"21 深耕計畫3M",大陸地區,當地學術機構,進行學術交流,113.01-113.12,16,5,263,250,80,593,學術研究與人才培育,無,
240,113,"22 主題研究計畫15",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,2,1,14,10,0,24,學術研究與人才培育,無,
240,113,"23 關鍵突破種子計畫15",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,5,5,150,100,25,275,學術研究與人才培育,無,
240,113,"24 關鍵突破研究計畫15",大陸地區,大陸重點大學及學術機構,研究資料蒐集,113.01-113.12,10,40,750,380,26,1156,學術研究與人才培育,無,
240,113,"25 永續科學研究計畫16",大陸地區,大陸重點大學及學術機構,研究,113.01-113.12,8,2,35,27,5,67,學術研究與人才培育,無,
240,113,"26 與清大合辦學程(中國研究學程)91",大陸地區,大學及研究機構,田野調查、研習及技術交流、參與研討會,113.01-113.12,30,10,115,238,25,378,學術研究與人才培育,無,
240,113,"27 至大陸參加學術會議(數學研究)10",大陸地區,學術單位,發表論文,113.01-113.12,7,2,50,50,0,100,數理科學研究,無,
240,113,"28 訪問及短期學術研究10",大陸地區,學術單位,學術交流,113.01-113.12,7,2,50,50,0,100,數理科學研究,無,
240,113,"29 赴大陸地區參加學術會議(物理研究)11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,參加會議、發表論文、演講,113.01-113.12,3,1,12,18,3,33,數理科學研究,無,
240,113,"30 赴大陸地區、香港及澳門學術參訪11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,學術訪問、交流討論,113.01-113.12,3,1,12,18,1,31,數理科學研究,無,
240,113,"31 赴大陸地區、香港及澳門實驗研究之訓練費11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,實驗研究,113.01-113.12,5,1,11,29,3,43,數理科學研究,無,
240,113,"32 化學研究國際會議12",大陸地區,重點大學、學術機構,參加會議及發表論文,113.01-113.12,5,4,80,128,22,230,數理科學研究,無,
240,113,"33 魚類研究相關研究15",大陸地區,學術機構,出席國際會議,113.01-113.12,4,2,30,44,26,100,生命科學研究,無,
240,113,"34 微生物學、分子生物學、生化學與植物學相關計畫研究15",大陸地區,學術單位,發表學術論文,113.01-113.12,5,1,5,8,0,13,生命科學研究,無,
240,113,"35 生物化學研究15",大陸地區,學術研究機構,參加會議及發表論文,113.01-113.12,5,4,8,100,12,120,生命科學研究,無,
240,113,"36 地震、地球物理、地質、地球化學研討會14",大陸地區,學術研究單位,參加會議、發表論文、學術研討,113.01-113.12,6,1,18,41,1,60,數理科學研究,無,
240,113,"37 赴研究機構短期研究及從事野外工作14",大陸地區,學術研究單位,短期研究、實驗、收集資料、岩石採樣、地質考察等,113.01-113.12,4,1,18,18,0,36,數理科學研究,無,
240,113,"38 電腦系統3M",大陸地區,當地重點大學、學術機構,"1.資訊相關研究及學術討論 
2.訪問合作演講",113.01-113.12,5,1,22,47,15,84,數理科學研究,無,
240,113,"39 生物醫學科學研究40",大陸地區,醫學機構,發表論文及交流,113.01-113.12,5,1,15,18,0,33,生命科學研究,無,
240,113,"40 數理統計研究、統計計算、醫學與遺傳統計10",大陸地區,各大學相關學系,數理統計研究、統計計算、醫學與遺傳統計等學術會議,113.01-113.12,6,4,80,105,15,200,數理科學研究,無,
240,113,"41 數理統計研究、腦影像分析、時間序列、精準醫療10",大陸地區,各大學相關學系,短期移地研究、學術交流合作及訓練參訪,113.01-113.12,8,4,65,80,5,150,數理科學研究,無,
240,113,"42 數理科學研究相關會議及學術交流訪問等11",大陸地區,學術研究機構等,出席國際研討會、發表論文、學術交流訪問,113.01-113.12,3,1,10,10,5,25,數理科學研究,無,
240,113,"43 材料與分析科技探索計畫11",大陸地區,學術研究機構等,出席國際研討會、發表論文及學術交流訪問,113.01-113.12,5,1,22,20,0,42,學術研究與人才培育,無,
240,113,"44 訪問學術研究機構11",大陸地區,大陸各大學、學術研究機構等,學術交流研究訪問,113.01-113.12,4,1,8,2,1,11,數理科學研究,無,
240,113,"45 材料與分析科技探索計畫11",大陸地區,大陸各大學、學術研究機構等,學術交流研究訪問,113.01-113.12,5,1,15,20,0,35,學術研究與人才培育,無,
240,113,"46 分子生物學相關會議15",大陸地區,學術研究機構,參加分子生物相關學術會議,113.01-113.12,5,2,30,30,20,80,生命科學研究,無,
240,113,"47 天文領域相關國際會議11",大陸地區,國家科學院,發表論文,113.01-113.12,5,4,70,30,8,108,數理科學研究,無,
240,113,"48 東亞天文台、天文學11",大陸地區,國家科學院天文台、國家科學院天文台及重點大學,訪問交流,113.01-113.12,4,8,120,52,0,172,數理科學研究,無,
240,113,"49 望遠鏡儀器研討22",大陸地區,國家科學院天文台,訪問交流,113.01-113.12,5,2,30,20,0,50,數理科學研究,無,
240,113,"50 農業生物科技研究15",大陸地區,學術研究單位,參加會議、發表論文,113.01-113.12,3,2,10,7,3,20,生命科學研究,無,
240,113,"51 短期學術交流及訪問15",大陸地區,學術研究單位,學術交流及研究訪問,113.01-113.12,3,1,15,10,3,28,生命科學研究,無,
240,113,"52 史學及考文研究相關之學術會議76",大陸地區,參加會議地點,出席國際學術會議等,113.01-113.12,7,5,110,280,10,400,人文及社會科學研究,無,
240,113,"53 史學及考文研究之相關計畫76",大陸地區,當地重點大學、博物館、圖書館及學術機構等,參訪、學術交流、田野調查及研究資料蒐集等,113.01-113.12,7,5,110,280,10,400,人文及社會科學研究,無,
240,113,"54 史學及考文研究之相關計畫76",大陸地區,重點遺址、訪查、文物收藏及研究單位等,田野調查及研究資料蒐集等,113.01-113.12,3,2,22,46,2,70,人文及社會科學研究,無,
240,113,"55 民族學研究81",中國大陸,北京大學、學術研究單位,參加會議,113.01-113.12,5,1,20,35,8,63,人文及社會科學研究,無,
240,113,"56 台灣、中國與世界民族誌研究75",中國大陸,四川河南浙江及陝西博物館、遺址及當地儀式祭典,蒐集檔案文獻材料及田野調查參與觀查、考古挖掘民族誌調查,113.09-113.11,30,1,30,100,2,132,人文及社會科學研究,無,
240,113,"57 宗教生活及原住民研究75",中國大陸,福建省福州市與鄰近城市廟宇、南京基督教群體與個人、昆明市基督教兩會、苗學會和民族宗教委員會,廟宇田野調查、教會參與觀察、信徒與傳道人訪談及資料蒐集,113.02-113.11,40,3,67,213,7,287,人文及社會科學研究,有,前往滇北阿卯教會實地訪查
240,113,"58 文化生產與共作75",中國大陸,湖南江永農村、民間社會機構,女書田野調查、經濟文化與治理性田野調查及資料蒐集,113.09-113.10,15,1,20,60,1,81,人文及社會科學研究,無,
240,113,"59 近代史研究及史料搜集整編76",大陸地區,學術機構,出席會議,113.01-113.12,5,3,40,56,4,100,人文及社會科學研究,無,
240,113,"60 近代史研究及史料搜集整編76",大陸地區,學術機構,學術訪問、資料蒐集及商議合作事宜等,113.01-113.12,5,5,115,240,30,385,人文及社會科學研究,無,
240,113,"61 各學門經濟問題專題研討會85",大陸地區及港澳,學術研究單位,出席會議或發表論文、與專家學者學術交流等,113.01-113.12,5,11,150,296,34,480,人文及社會科學研究,無,
240,113,"62 各學門有關經濟問題之學術交流85",大陸地區及港澳,學術研究單位,學術研究及蒐集資料等,113.01-113.12,6,6,70,188,18,276,人文及社會科學研究,無,
240,113,"63 文學、哲學及經學研究73",大陸等地區,學術研究單位,文哲經學術及研究等相關領域,113.01-113.12,7,3,75,75,0,150,人文及社會科學研究,無,
240,113,"64 文學、哲學及經學研究73",大陸等地區,學術研究單位,文哲經等學術及研究相關領域,113.01-113.12,5,5,108,109,0,217,人文及社會科學研究,無,
240,113,"65 國際社會學會議80",大陸地區,學術機構,學術研討會,113.01-113.12,4,1,10,15,0,25,人文及社會科學研究,無,
240,113,"66 社會學研究80",大陸,訪問學術機構及台商等,大陸地區資料蒐集,113.01-113.12,5,1,10,18,0,28,人文及社會科學研究,無,
240,113,"67 語言學研究72",大陸地區,學術研究機構,田野調查,113.01-113.12,33,1,30,130,40,200,人文及社會科學研究,無,
240,113,"68 應用科學相關會議16",大陸港澳,學術機構,參加會議、發表論文,113.01-113.12,4,2,30,10,30,70,數理科學研究,無,
240,113,"69 訪問大陸各大學及學術研究機構16",大陸地區,大陸各大學、學術研究機構,學術交流,113.01-113.12,4,1,13,7,10,30,數理科學研究,無,
240,113,"70 政治學研究83",上海,復旦大學,訪談大陸學者對中國外交的看法,113.07-113.07,10,1,20,50,10,80,人文及社會科學研究,無,
240,113,"71 政治學研究83",浙江,浙江大學,學者訪談與資料搜尋,113.07-113.07,5,1,15,30,5,50,人文及社會科學研究,無,
240,113,"72 政治學研究83",天津,南開大學,學者訪談與資料搜尋,113.10-113.10,8,1,20,40,5,65,人文及社會科學研究,無,
240,113,"73 環境變遷研究研討會13",大陸地區,學術研究機構,參加會議、發表論文、演講,113.01-113.12,4,1,7,8,0,15,數理科學研究,無,
240,113,"74 海洋科學研究研討會1A",大陸地區,學術研究機構,參加會議、發表論文、演講,113.01-113.12,4,1,7,8,0,15,數理科學研究,無,
240,113,"75 短期學術交流及訪問13",大陸地區,學術研究機構,學術交流訪問,113.01-113.12,5,1,8,0,0,8,數理科學研究,無,
240,113,"76 生物多樣性研討會15",大陸地區,學術研究單位,參加會議及發表論文、演講,113.01-113.12,5,2,50,50,0,100,生命科學研究,無,
240,113,"77 生態維護及生態多樣性研究15",大陸地區,當地學術研究機構及重點大學,學術交流、檢視標本,113.01-113.12,10,4,200,460,0,660,生命科學研究,無,
240,113,"78 基因體相關研究之國際會議暨研討15",大陸地區,學術研究單位,國際學術會議及學術交流,113.01-113.12,5,1,25,20,5,50,生命科學研究,無,
240,113,"79 人文及社會科學研究91",大陸地區,學術機構,參加會議並發表論文,113.01-113.12,5,2,40,60,0,100,人文及社會科學研究,無,
240,113,"80 人文及社會科學研究91",大陸地區,學術機構,收集資料、學術交流、田野調查及商議合作事宜等,113.01-113.12,15,3,60,240,0,300,人文及社會科學研究,無,
240,113,"81 法律學研究84",大陸地區,學術研究機構等,參加會議及發表論文,113.01-113.12,4,2,20,25,5,50,人文及社會科學研究,無,
240,113,"82 法律學研究84",大陸地區,學術研究機構等,學術交流及蒐集資料等,113.01-113.12,6,1,7,9,2,18,人文及社會科學研究,無,
240,113,"83 資訊科技創新研究計畫3M",大陸地區,學術研究單位,出席國際會議,113.01-113.12,5,2,40,50,30,120,數理科學研究,無,
240,114,"01 延攬資深學人開辦費16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,114.01-114.12,4,2,45,35,20,100,學術研究與人才培育,無,
240,114,"02 人文社會科學新領域之開發及研究環境之改善91",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,114.01-114.12,5,6,120,120,19,259,學術研究與人才培育,無,
240,114,"03 創新性研究計畫16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,114.01-114.12,10,1,30,15,7,52,學術研究與人才培育,無,
240,114,"04 生物技術之研發及在醫學之應用4L",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,114.01-114.12,5,3,90,75,15,180,學術研究與人才培育,無,
240,114,"05 數理科學新領域之開發及研究環境之改善16",大陸地區,大陸重點大學及學術機構,參加會議、發表論文、學術研討,114.01-114.12,5,2,37,34,6,77,學術研究與人才培育,無,
240,114,"06 博士後研究學者培育計畫76",大陸地區,學術研究單位,出席研討會、進行學術交流及資料收集等,114.01-114.12,5,2,45,55,0,100,學術研究與人才培育,無,
240,114,"07 前瞻計畫15",大陸地區,學術研究單位,參加會議、發表論文,114.01-114.12,5,5,150,40,10,200,學術研究與人才培育,無,
